500 4000000
Z 67 30
Z 168 30
A 193 25
A 393 64
A 90 20
Z 328 27
A 303 53
Z 206 44
Z 398 11
A 351 33
Z 174 67
Z 288 24
A 482 62
A 310 50
A 477 37
A 248 50
Z 344 70
Z 340 17
A 297 37
A 359 39
A 260 25
Z 197 18
Z 166 47
Z 220 62
A 133 64
A 356 14
Z 453 28
Z 255 65
A 334 38
A 223 60
A 244 69
A 229 65
A 204 67
Z 347 40
Z 407 38
Z 499 17
A 109 11
Z 465 66
Z 111 13
A 116 15
Z 223 44
Z 78 54
Z 205 64
Z 500 43
Z 242 13
Z 337 27
A 278 30
A 63 67
A 289 27
Z 69 68
Z 329 17
A 371 60
A 148 64
A 309 53
Z 437 14
Z 159 53
A 176 43
Z 400 61
A 281 47
A 472 52
A 328 33
A 204 27
Z 66 54
Z 474 52
Z 163 28
Z 295 59
A 361 34
Z 159 43
Z 457 66
A 370 58
A 153 51
Z 197 54
Z 323 61
Z 51 31
Z 257 25
Z 414 43
Z 263 35
A 481 16
Z 471 63
A 285 24
A 497 49
A 85 40
Z 158 13
A 362 21
A 430 13
Z 54 59
A 268 65
A 282 19
Z 485 20
A 436 43
A 165 47
A 137 59
A 142 58
A 127 21
Z 388 35
Z 159 60
A 286 26
Z 499 66
A 120 38
Z 135 36
A 464 59
Z 495 47
Z 50 14
Z 163 22
A 113 27
A 497 40
A 209 11
Z 357 30
Z 103 52
Z 413 11
Z 227 68
A 81 68
A 430 31
A 284 64
Z 461 50
A 137 67
Z 68 30
A 250 24
Z 148 63
Z 491 20
A 52 26
A 66 55
Z 448 32
A 245 56
A 438 66
A 291 65
Z 422 63
A 392 61
Z 215 45
A 80 51
A 398 67
Z 215 45
Z 52 25
A 403 53
Z 412 32
Z 87 20
A 73 52
Z 280 30
Z 80 56
A 453 49
A 339 53
Z 255 66
Z 479 42
Z 412 18
A 109 68
A 135 29
A 107 17
A 175 30
A 220 18
Z 313 53
A 341 69
Z 413 68
A 87 16
Z 411 13
Z 85 31
A 334 48
Z 73 63
Z 224 39
A 237 19
Z 103 27
Z 56 54
A 77 39
A 58 23
Z 121 14
A 180 19
A 213 68
A 82 45
A 399 36
Z 268 35
A 144 25
A 107 38
Z 353 35
A 152 55
Z 280 52
A 316 31
A 69 43
A 486 28
Z 250 15
A 326 52
A 463 62
A 387 51
A 98 50
A 369 59
A 312 51
A 442 55
Z 88 12
A 332 19
A 449 13
Z 498 64
A 150 20
A 246 57
Z 500 17
A 251 56
A 274 20
Z 466 32
Z 155 65
Z 396 23
A 115 55
Z 251 51
Z 182 23
A 63 58
A 439 56
Z 70 50
Z 323 35
Z 391 39
A 371 21
Z 349 10
Z 327 38
A 173 28
A 311 34
A 345 63
Z 66 69
Z 183 62
Z 459 66
A 469 39
Z 151 55
A 112 12
A 498 38
Z 238 52
A 459 19
A 121 67
Z 111 48
A 311 55
Z 86 26
A 470 58
A 465 62
Z 148 60
Z 123 13
A 191 33
Z 204 14
A 432 57
A 121 39
Z 96 46
A 225 17
Z 194 63
A 202 49
Z 59 55
A 482 34
Z 157 69
Z 277 69
A 154 51
Z 450 26
A 470 33
A 365 51
Z 77 44
Z 383 52
Z 186 38
A 233 20
Z 68 27
A 387 64
Z 140 67
A 264 62
Z 117 46
Z 223 13
Z 179 21
Z 193 62
A 145 15
A 255 66
A 52 70
Z 156 26
A 269 11
A 225 38
Z 139 29
A 326 14
A 133 24
Z 310 67
Z 156 42
A 448 25
A 231 61
A 310 14
Z 223 10
A 277 60
Z 52 63
Z 401 20
A 316 32
A 385 25
A 338 63
A 475 29
Z 306 26
Z 56 36
A 238 18
Z 433 25
Z 490 55
Z 415 36
Z 63 28
A 378 11
A 120 64
Z 149 17
A 194 11
A 150 33
Z 164 21
A 190 26
Z 212 32
A 273 25
Z 245 43
Z 415 52
Z 59 53
A 280 47
A 68 51
A 287 54
Z 88 35
Z 206 50
A 196 42
Z 341 67
A 345 26
Z 204 65
Z 411 31
Z 479 22
A 245 11
A 399 26
A 254 18
A 281 44
A 246 46
Z 117 12
Z 312 58
A 183 31
A 274 52
Z 451 37
A 156 57
A 463 11
A 434 40
A 406 46
A 338 68
A 55 20
A 461 52
A 320 16
A 125 34
A 416 58
A 454 63
A 298 46
A 432 61
Z 169 32
A 424 36
Z 227 47
Z 382 51
Z 485 38
Z 398 54
A 119 47
Z 263 16
A 172 48
Z 304 43
A 326 48
Z 389 63
A 493 19
A 454 66
A 227 50
Z 356 26
Z 353 62
Z 50 15
Z 447 29
Z 278 18
Z 95 12
A 395 69
Z 124 15
Z 385 43
A 231 33
A 91 69
Z 465 44
Z 205 67
Z 171 67
A 218 18
Z 296 57
A 190 63
Z 447 27
Z 446 40
A 497 37
A 301 23
Z 497 32
Z 340 36
A 56 39
A 346 50
A 61 21
A 102 49
A 373 28
Z 347 11
Z 200 22
A 426 49
A 120 52
A 137 39
Z 237 53
A 400 67
A 408 53
Z 76 12
Z 139 68
Z 159 16
A 272 31
A 479 24
Z 410 53
Z 403 33
A 404 32
Z 102 14
Z 70 44
A 481 51
A 123 67
A 103 11
A 400 35
Z 184 31
A 385 69
Z 343 36
Z 281 49
Z 464 35
A 119 37
Z 62 12
A 438 52
Z 451 16
A 216 28
Z 73 59
Z 108 52
Z 366 46
Z 493 49
A 369 18
A 382 11
A 283 13
A 225 14
A 67 41
A 207 12
Z 500 21
A 173 29
Z 159 51
Z 276 12
A 352 70
A 195 47
A 432 52
A 314 64
Z 118 48
Z 165 22
A 72 40
A 363 23
Z 198 60
Z 160 42
A 335 25
A 384 26
Z 284 70
A 377 19
A 236 21
Z 337 35
A 117 11
A 164 29
Z 213 21
A 321 28
A 338 30
Z 435 47
Z 331 45
A 190 43
Z 188 33
A 231 25
Z 312 40
A 265 36
Z 280 40
Z 272 43
A 190 41
A 422 42
A 438 43
Z 197 21
Z 244 39
Z 373 30
Z 289 64
Z 98 16
A 294 55
Z 259 51
A 184 10
A 107 12
Z 428 34
A 500 36
Z 174 30
A 154 22
A 393 15
A 417 55
Z 354 11
Z 123 31
Z 130 53
Z 254 23
A 155 36
A 398 27
A 394 55
Z 149 29
Z 320 16
A 467 27
Z 497 45
Z 324 12
Z 233 69
A 179 68
A 281 31
Z 157 47
A 135 30
A 266 10
Z 460 34
Z 120 68
A 288 10
Z 384 13
A 233 16
A 148 32
Z 294 25
Z 434 60
A 178 56
Z 269 40
A 263 53
A 65 41
A 176 59
Z 465 59
